Date	State
8-11-16	FL
8-11-16	NC
8-11-16	CA
8-11-16	ID
8-11-16	IN
8-11-16	AB
8-11-16	OK
8-11-16	MD
8-11-16	WA
8-11-16	WA
7-11-16	GA
7-11-16	ID
7-11-16	TN
7-11-16	PA
7-11-16	PA
7-11-16	NV
7-11-16	CA
7-11-16	WA
7-11-16	ND
7-11-16	CA
7-11-16	CA
7-11-16	WI
7-11-16	IN
7-11-16	ND
7-11-16	NY
7-11-16	OR
7-11-16	ND
7-11-16	IA
7-11-16	CA
6-11-16	TX
6-11-16	CO
6-11-16	IL
6-11-16	NV
6-11-16	MO
6-11-16	GA
6-11-16	PA
6-11-16	NC
6-11-16	IA
6-11-16	WI
6-11-16	DE
6-11-16	CA
6-11-16	IL
6-11-16	MA
6-11-16	NC
6-11-16	WI
6-11-16	AZ
5-11-16	MI
5-11-16	LA
5-11-16	FL
5-11-16	AZ
5-11-16	NY
5-11-16	NY
5-11-16	WV
5-11-16	TN
5-11-16	NC
5-11-16	RI
5-11-16	AZ
5-11-16	NH
5-11-16	AK
5-11-16	MD
5-11-16	MD
5-11-16	NJ
5-11-16	PA
5-11-16	MD
5-11-16	WI
5-11-16	SD
5-11-16	AZ
5-11-16	NH
5-11-16	CA
5-11-16	NY
4-11-16	SC
4-11-16	IL
4-11-16	NJ
4-11-16	CA
4-11-16	UT
4-11-16	ND
4-11-16	OH
4-11-16	TX
4-11-16	TX
4-11-16	ME
4-11-16	KY
4-11-16	PA
4-11-16	MA
4-11-16	QC
4-11-16	MA
4-11-16	MA
4-11-16	GA
4-11-16	ON
4-11-16	MI
4-11-16	CA
4-11-16	MT
4-11-16	CA
4-11-16	NJ
4-11-16	AZ
4-11-16	WI
3-11-16	UT
3-11-16	UT
3-11-16	ID
3-11-16	MT
3-11-16	NC
3-11-16	NC
3-11-16	NC
3-11-16	NC
3-11-16	MA
3-11-16	NE
2-11-16	AL
2-11-16	AZ
2-11-16	CO
2-11-16	OH
2-11-16	WV
2-11-16	OH
2-11-16	NY
1-11-16	TX
